brand,name,notes,accords,price_estimate,clone_brand,clone_name,similarity_score,clone_price,notes_match
Creed,Aventus,"Pineapple, Bergamot, Birch, Musk","Fruity, Woody, Smoky",475,Armaf,Club de Nuit Intense Man,92.0,35,"Lemon, Pineapple, Birch, Musk"
Creed,Aventus,"Pineapple, Bergamot, Birch, Musk","Fruity, Woody, Smoky",475,Montblanc,Explorer,85.0,60,"Bergamot, Vetiver, Patchouli"
Creed,Aventus,"Pineapple, Bergamot, Birch, Musk","Fruity, Woody, Smoky",475,Afnan,Supremacy Silver,90.0,40,"Pineapple, Apple, Birch"
Creed,Aventus,"Pineapple, Bergamot, Birch, Musk","Fruity, Woody, Smoky",475,Lattafa,Qaed Al Fursan,82.0,25,"Pineapple, Saffron, Jasmine"
Creed,Silver Mountain Water,"Bergamot, Mandarin, Green Tea, Blackcurrant","Citrus, Green, Fresh",335,Armaf,Club de Nuit Sillage,88.5,35,"Bergamot, Blackcurrant, Tea"
Creed,Silver Mountain Water,"Bergamot, Mandarin, Green Tea, Blackcurrant","Citrus, Green, Fresh",335,Afnan,Supremacy In Heaven,85.0,40,"Mandarin, Green Tea, Musk"
Creed,Green Irish Tweed,"Lemon Verbena, Iris, Violet Leaf, Ambergris","Citrus, Powdery, Ozonic",335,Armaf,Tres Nuit,89.0,30,"Lemon Verbena, Violet, Ambergris"
Creed,Green Irish Tweed,"Lemon Verbena, Iris, Violet Leaf, Ambergris","Citrus, Powdery, Ozonic",335,Davidoff,Cool Water,75.0,25,"Mint, Lavender, Amber"
Creed,Millesime Imperial,"Fruity Notes, Sea Salt, Iris, Mandarin","Marine, Fruity, Citrus",410,Armaf,Club de Nuit Milestone,91.0,35,"Sea Notes, Red Fruits, Musk"
Creed,Virgin Island Water,"Coconut, Lime, White Rum, Sugar Cane","Coconut, Citrus, Sweet",335,Tommy Bahama,Set Sail St. Barts,80.0,25,"Lime, Agave, Guava"
Maison Francis Kurkdjian,Baccarat Rouge 540,"Saffron, Jasmine, Amberwood, Fir Resin","Amber, Woody, Warm Spicy",425,Armaf,Club de Nuit Untold,95.0,45,"Saffron, Jasmine, Amberwood"
Maison Francis Kurkdjian,Baccarat Rouge 540,"Saffron, Jasmine, Amberwood, Fir Resin","Amber, Woody, Warm Spicy",425,Lattafa,Ana Abiyedh Rouge,88.0,25,"Saffron, Bitter Almond, Amber"
Maison Francis Kurkdjian,Baccarat Rouge 540,"Saffron, Jasmine, Amberwood, Fir Resin","Amber, Woody, Warm Spicy",425,Zara,Red Temptation,85.0,30,"Saffron, Coriander, Praline"
Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait,"Bitter Almond, Saffron, Egyptian Jasmine","Amber, Almond, Animalic",465,Al Haramain,Amber Oud Ruby Edition,93.0,60,"Bitter Almond, Saffron, Cedar"
Maison Francis Kurkdjian,Baccarat Rouge 540 Extrait,"Bitter Almond, Saffron, Egyptian Jasmine","Amber, Almond, Animalic",465,Fragrance World,Barakkat Rouge 540 Extrait,89.0,30,"Almond, Saffron, Ambergris"
Maison Francis Kurkdjian,Grand Soir,"Amber, Tonka Bean, Vanilla, Benzoin","Amber, Vanilla, Sweet",235,Fragrance World,Barakkat Ambre Eve,90.0,30,"Amber, Labdanum, Vanilla"
Maison Francis Kurkdjian,Oud Satin Mood,"Bulgarian Rose, Turkish Rose, Vanilla, Agarwood","Rose, Vanilla, Oud",300,Paris Corner,Ministry of Oud Satin,88.0,35,"Rose, Vanilla, Oud"
Tom Ford,Tobacco Vanille,"Tobacco Leaf, Vanilla, Cacao, Tonka Bean","Vanilla, Sweet, Tobacco",295,Maison Alhambra,Tobacco Touch,92.0,30,"Tobacco, Vanilla, Spicy Notes"
Tom Ford,Tobacco Vanille,"Tobacco Leaf, Vanilla, Cacao, Tonka Bean","Vanilla, Sweet, Tobacco",295,Al Haramain,Amber Oud Tobacco Edition,89.0,50,"Tobacco, Cinnamon, Vanilla"
Tom Ford,Tobacco Vanille,"Tobacco Leaf, Vanilla, Cacao, Tonka Bean","Vanilla, Sweet, Tobacco",295,Paris Corner,Charuto Tobacco Vanille,87.0,25,"Tobacco, Vanilla, Cacao"
Tom Ford,Lost Cherry,"Bitter Almond, Black Cherry, Plum, Tonka Bean","Sweet, Cherry, Almond",395,Maison Alhambra,Lovely Cherie,93.0,30,"Rose, Amber, Bitter Almond, Cherry"
Tom Ford,Lost Cherry,"Bitter Almond, Black Cherry, Plum, Tonka Bean","Sweet, Cherry, Almond",395,Fragrance World,Lush Cherry,88.0,25,"Cherry, Almond, Tonka Bean"
Tom Ford,Lost Cherry,"Bitter Almond, Black Cherry, Plum, Tonka Bean","Sweet, Cherry, Almond",395,Zara,Cherry Smoothie,82.0,25,"Cherry, Heliotrope, Vanilla"
Tom Ford,Oud Wood,"Oud, Sandalwood, Cardamom, Sichuan Pepper","Woody, Oud, Warm Spicy",295,Maison Alhambra,Woody Oud,90.0,30,"Oud, Sandalwood, Amberwood"
Tom Ford,Oud Wood,"Oud, Sandalwood, Cardamom, Sichuan Pepper","Woody, Oud, Warm Spicy",295,Fragrance World,Oud Wonder,85.0,25,"Oud, Cardamom, Sandalwood"
Tom Ford,Tuscan Leather,"Raspberry, Saffron, Thyme, Leather","Leather, Fruity, Animalic",295,Maison Alhambra,Toscano Leather,91.0,30,"Leather, Raspberry, Saffron"
Tom Ford,Tuscan Leather,"Raspberry, Saffron, Thyme, Leather","Leather, Fruity, Animalic",295,Rasasi,La Yuqawam Homme,94.0,65,"Leather, Raspberry, Frankincense"
Tom Ford,Bitter Peach,"Peach, Blood Orange, Rum, Cognac","Fruity, Sweet, Woody",395,Maison Alhambra,Bright Peach,90.0,30,"Peach, Blood Orange, Patchouli"
Tom Ford,Fucking Fabulous,"Lavender, Bitter Almond, Leather, Orris","Leather, Almond, Aromatic",395,Maison Alhambra,Fabulo Intense,92.0,30,"Almond, Leather, Lavender"
Tom Ford,Neroli Portofino,"Neroli, Bergamot, Mandarin Orange, Orange Blossom","Citrus, White Floral, Fresh",295,Maison Alhambra,Porto Neroli,89.0,30,"Neroli, Lemon, Orange Blossom"
Tom Ford,Ombre Leather,"Cardamom, Leather, Jasmine Sambac, Amber","Leather, Animalic, White Floral",235,Afnan,Rare Carbon,88.0,40,"Leather, Violet Leaf, Rose"
Parfums de Marly,Layton,"Apple, Lavender, Vanilla, Cardamom","Vanilla, Fresh Spicy, Sweet",350,Al Haramain,Detour Noir,93.0,35,"Apple, Vanilla, Sandalwood"
Parfums de Marly,Layton,"Apple, Lavender, Vanilla, Cardamom","Vanilla, Fresh Spicy, Sweet",350,Lalique,White in Black,85.0,55,"Cardamom, Vanilla, Cedar"
Parfums de Marly,Delina,"Litchi, Rhubarb, Turkish Rose, Vanilla","Rose, Floral, Fruity",355,Maison Alhambra,Delilah,92.0,30,"Rhubarb, Litchi, Rose"
Parfums de Marly,Delina,"Litchi, Rhubarb, Turkish Rose, Vanilla","Rose, Floral, Fruity",355,Afnan,Souvenir Floral Bouquet,89.0,45,"Litchi, Rose, Vanilla"
Parfums de Marly,Delina,"Litchi, Rhubarb, Turkish Rose, Vanilla","Rose, Floral, Fruity",355,Zara,Fashionably London,80.0,30,"Bergamot, Rose, Musk"
Parfums de Marly,Herod,"Cinnamon, Pepper, Tobacco Leaf, Vanilla","Tobacco, Vanilla, Warm Spicy",350,Maison Alhambra,Hercules,88.0,30,"Cinnamon, Tobacco, Vanilla"
Parfums de Marly,Herod,"Cinnamon, Pepper, Tobacco Leaf, Vanilla","Tobacco, Vanilla, Warm Spicy",350,Essential Parfums,Divine Vanille,85.0,85,"Vanilla, Cinnamon, Tobacco"
Parfums de Marly,Pegasus,"Heliotrope, Cumin, Almond, Vanilla","Almond, Vanilla, Powdery",350,Armaf,Craze,91.0,30,"Almond, Heliotrope, Vanilla"
Parfums de Marly,Sedley,"Mint, Lemon, Bergamot, Lavender","Citrus, Aromatic, Fresh",350,Lattafa,Maahir Legacy,89.0,35,"Mint, Lime, Vetiver"
By Kilian,Angels' Share,"Cognac, Cinnamon, Tonka Bean, Oak","Warm Spicy, Vanilla, Woody",245,Lattafa,Khamrah,85.0,40,"Cinnamon, Praline, Vanilla"
By Kilian,Angels' Share,"Cognac, Cinnamon, Tonka Bean, Oak","Warm Spicy, Vanilla, Woody",245,Maison Alhambra,Kismet Angel,94.0,35,"Cognac, Cinnamon, Tonka Bean"
By Kilian,Angels' Share,"Cognac, Cinnamon, Tonka Bean, Oak","Warm Spicy, Vanilla, Woody",245,Fragrance World,Cocktail Intense,90.0,30,"Cognac, Vanilla, Amber"
By Kilian,Love Don't Be Shy,"Neroli, Bergamot, Pink Pepper, Marshmallow","Sweet, White Floral, Caramel",295,Dossier,Floral Marshmallow,92.0,39,"Marshmallow, Orange Blossom, Vanilla"
By Kilian,Love Don't Be Shy,"Neroli, Bergamot, Pink Pepper, Marshmallow","Sweet, White Floral, Caramel",295,Zara,Rose Marshmallow Candy,80.0,25,"Marshmallow, Blood Orange, Vanilla"
By Kilian,Black Phantom,"Rum, Sugar Cane, Dark Chocolate, Coffee","Sweet, Warm Spicy, Coffee",295,Alexandria Fragrances,Dark Knight,90.0,60,"Rum, Coffee, Chocolate"
By Kilian,Intoxicated,"Cardamom, Coffee, Nutmeg, Cinnamon","Warm Spicy, Coffee, Aromatic",295,Fragrance World,Irish Coffee,88.0,30,"Coffee, Cardamom, Cinnamon"
Yves Saint Laurent,Tuxedo,"Patchouli, Ambergris, Coriander","Patchouli, Amber, Warm Spicy",270,Maison Alhambra,The Tux,95.0,30,"Coriander, Black Pepper, Patchouli"
Yves Saint Laurent,Tuxedo,"Patchouli, Ambergris, Coriander","Patchouli, Amber, Warm Spicy",270,Rochas,Moustache EDP,88.0,55,"Pink Pepper, Cedar, Vanilla"
Yves Saint Laurent,Black Opium,"Coffee, Vanilla, White Flowers, Patchouli","Vanilla, Coffee, Sweet",155,Zara,Gardenia,85.0,25,"Coffee, Orange Blossom, Vanilla"
Yves Saint Laurent,Black Opium,"Coffee, Vanilla, White Flowers, Patchouli","Vanilla, Coffee, Sweet",155,Dossier,Ambery Vanilla,90.0,29,"Pear, Coffee, Vanilla"
Yves Saint Laurent,La Nuit de L'Homme,"Cardamom, Bergamot, Cedar, Lavender","Warm Spicy, Aromatic, Woody",120,Trussardi,Riflesso,82.0,45,"Green Apple, Leather, Tonka Bean"
Yves Saint Laurent,Y EDP,"Apple, Ginger, Bergamot, Sage, Amberwood","Aromatic, Fresh Spicy, Woody",145,Lattafa,Fakhar Black,91.0,30,"Apple, Sage, Tonka Bean"
Dior,Sauvage EDT,"Calabrian Bergamot, Pepper, Lavender, Ambroxan","Fresh Spicy, Amber, Citrus",145,Armaf,Ventana,87.0,30,"Bergamot, Grapefruit, Lavender, Ambroxan"
Dior,Sauvage EDT,"Calabrian Bergamot, Pepper, Lavender, Ambroxan","Fresh Spicy, Amber, Citrus",145,Afnan,Modest Une,91.0,35,"Lavender, Mint, Pepper, Ambroxan"
Dior,Sauvage Elixir,"Nutmeg, Cinnamon, Cardamom, Licorice","Warm Spicy, Woody, Aromatic",180,Lattafa,Asad,92.0,30,"Black Pepper, Coffee, Amber"
Dior,Sauvage Elixir,"Nutmeg, Cinnamon, Cardamom, Licorice","Warm Spicy, Woody, Aromatic",180,Fragrance World,Enigma Une,89.0,30,"Nutmeg, Lavender, Sandalwood"
Dior,Homme Intense,"Iris, Ambrette, Virginia Cedar, Vetiver","Iris, Powdery, Woody",150,Zara,Night Pour Homme III,80.0,25,"Iris, Cardamom, Amber"
Dior,Homme Intense,"Iris, Ambrette, Virginia Cedar, Vetiver","Iris, Powdery, Woody",150,Valentino,Uomo Intense,88.0,110,"Iris, Leather, Vanilla"
Dior,Ambre Nuit,"Ambergris, Turkish Rose, Bergamot, Grapefruit","Amber, Rose, Citrus",300,Maison Alhambra,Ambre Eve,89.0,35,"Amber, Rose, Pink Pepper"
Le Labo,Santal 33,"Sandalwood, Leather, Papyrus, Virginia Cedar","Woody, Powdery, Leather",320,Zara,Energetically New York,80.0,30,"Cardamom, Jasmine, Sandalwood"
Le Labo,Santal 33,"Sandalwood, Leather, Papyrus, Virginia Cedar","Woody, Powdery, Leather",320,Dossier,Woody Sandalwood,88.0,49,"Violet Leaves, Sandalwood, Musk"
Le Labo,Santal 33,"Sandalwood, Leather, Papyrus, Virginia Cedar","Woody, Powdery, Leather",320,Cremo,Palo Santo,85.0,25,"Palo Santo, Cardamom, Papyrus"
Le Labo,Another 13,"Iso E Super, Amyl Salicylate, Musk, Ambergris","Musky, Amber, Animalic",320,Montblanc,Individuel,70.0,35,"Rosemary, Vanilla, Musk"
Le Labo,Another 13,"Iso E Super, Amyl Salicylate, Musk, Ambergris","Musky, Amber, Animalic",320,Dossier,Musky Musk,85.0,39,"Musk, Iso E Super, Ambrette"
Byredo,Gypsy Water,"Juniper Berries, Lemon, Bergamot, Pine Needles","Woody, Citrus, Aromatic",225,Oakcha,Morning Rain,88.0,40,"Lemon, Juniper, Sandalwood"
Byredo,Gypsy Water,"Juniper Berries, Lemon, Bergamot, Pine Needles","Woody, Citrus, Aromatic",225,Zara,Waterlily Tea Dress,75.0,35,"Bergamot, Mint, Musk"
Byredo,Bal d'Afrique,"Amalfi Lemon, Tagetes, Black Currant, Vetiver","Citrus, Woody, Floral",225,Dossier,Ambery Vetiver,89.0,39,"Lemon, Vetiver, Amber"
Byredo,Bal d'Afrique,"Amalfi Lemon, Tagetes, Black Currant, Vetiver","Citrus, Woody, Floral",225,Zara,Vibrant Leather Bogoss,78.0,30,"Pineapple, Leather, Vetiver"
Byredo,Mojave Ghost,"Sapodilla, Ambrette, Magnolia, Sandalwood","Floral, Powdery, Woody",225,Dossier,Floral Pear,90.0,39,"Pear, Ambrette, Magnolia"
Byredo,Mojave Ghost,"Sapodilla, Ambrette, Magnolia, Sandalwood","Floral, Powdery, Woody",225,Zara,Waterlily Tea Dress,75.0,25,"Musk, Sandalwood, Violet"
Xerjoff,Erba Pura,"Sicilian Orange, Calabrian Bergamot, White Musk","Citrus, Fruity, Musky",250,Al Haramain,Amber Oud Gold Edition,92.0,55,"Melon, Pineapple, Amber"
Xerjoff,Erba Pura,"Sicilian Orange, Calabrian Bergamot, White Musk","Citrus, Fruity, Musky",250,Lattafa,Ana Abiyedh,88.0,25,"White Musk, Vanilla, Citrus"
Xerjoff,Naxos,"Lavender, Bergamot, Honey, Tobacco","Sweet, Tobacco, Honey",250,Paris Corner,Voux Elegante,89.0,35,"Honey, Tobacco, Lavender"
Xerjoff,Naxos,"Lavender, Bergamot, Honey, Tobacco","Sweet, Tobacco, Honey",250,Reyane Tradition,Insurrection II Wild,85.0,30,"Honey, Tobacco, Vanilla"
Xerjoff,Alexandria II,"Palisander Rosewood, Lavender, Cinnamon, Apple","Woody, Powdery, Oud",350,Lattafa,Bade'e Al Oud Amethyst,80.0,35,"Rose, Oud, Amber"
Initio,Oud for Greatness,"Saffron, Nutmeg, Lavender, Agarwood","Warm Spicy, Oud, Fresh Spicy",385,Lattafa,Bade'e Al Oud Oud for Glory,93.0,35,"Saffron, Oud, Patchouli"
Initio,Oud for Greatness,"Saffron, Nutmeg, Lavender, Agarwood","Warm Spicy, Oud, Fresh Spicy",385,Afnan,Supremacy in Oud,91.0,45,"Saffron, Nutmeg, Agarwood"
Initio,Side Effect,"Rum, Vanilla, Tobacco, Cinnamon","Vanilla, Rum, Tobacco",340,Fragrance World,After Effect,92.0,35,"Rum, Tobacco, Vanilla"
Initio,Side Effect,"Rum, Vanilla, Tobacco, Cinnamon","Vanilla, Rum, Tobacco",340,Lattafa,Khamrah Qahwa,85.0,45,"Coffee, Vanilla, Praline"
Nishane,Hacivat,"Pineapple, Grapefruit, Bergamot, Oakmoss","Citrus, Woody, Mossy",265,Armaf,Club de Nuit Intense Man Limited Edition,85.0,65,"Pineapple, Lemon, Birch"
Nishane,Hacivat,"Pineapple, Grapefruit, Bergamot, Oakmoss","Citrus, Woody, Mossy",265,Afnan,Supremacy Not Only Intense,92.0,50,"Blackcurrant, Bergamot, Oakmoss"
Nishane,Ani,"Ginger, Bergamot, Pink Pepper, Vanilla","Vanilla, Warm Spicy, Powdery",265,Lattafa,Nasheet,88.0,30,"Guaiac Wood, Vanilla, Nutmeg"
Nishane,Ani,"Ginger, Bergamot, Pink Pepper, Vanilla","Vanilla, Warm Spicy, Powdery",265,Fragrance World,Francique 63.55,90.0,35,"Ginger, Cardamom, Vanilla"
Mancera,Cedrat Boise,"Sicilian Lemon, Black Currant, Bergamot, Cedar","Citrus, Woody, Fruity",150,Lattafa,Al Dur Al Maknoon Silver,82.0,25,"Pineapple, Bergamot, Leather"
Mancera,Cedrat Boise,"Sicilian Lemon, Black Currant, Bergamot, Cedar","Citrus, Woody, Fruity",150,Montblanc,Explorer,80.0,60,"Bergamot, Vetiver, Patchouli"
Amouage,Interlude Man,"Oregano, Pepper, Bergamot, Incense, Amber","Balsamic, Amber, Smoky",360,Afnan,Supremacy Incense,91.0,45,"Oregano, Incense, Opoponax"
Amouage,Interlude Man,"Oregano, Pepper, Bergamot, Incense, Amber","Balsamic, Amber, Smoky",360,Ard Al Zaafaran,Midnight Oud,88.0,25,"Oregano, Amber, Leather"
Amouage,Reflection Man,"Rosemary, Red Pepper, Rose, Neroli, Jasmine","White Floral, Woody, Aromatic",360,Khadlaj,Shiyaaka,90.0,35,"Petitgrain, Jasmine, Cedar"
Amouage,Reflection Man,"Rosemary, Red Pepper, Rose, Neroli, Jasmine","White Floral, Woody, Aromatic",360,Alexandria Fragrances,Desert Reflection,93.0,60,"Rosemary, Sandalwood, Jasmine"
Giorgio Armani,Acqua Di Gio Profumo,"Sea Notes, Bergamot, Rosemary, Incense","Aromatic, Marine, Smoky",150,Lattafa,Suqraat,89.0,30,"Bergamot, Lavender, Musk"
Giorgio Armani,Acqua Di Gio Profumo,"Sea Notes, Bergamot, Rosemary, Incense","Aromatic, Marine, Smoky",150,Maison Alhambra,Jorge Di Profumo,91.0,25,"Sea Notes, Patchouli, Incense"
Chanel,Bleu de Chanel EDP,"Grapefruit, Lemon, Mint, Pink Pepper, Ginger","Citrus, Woody, Warm Spicy",160,Armaf,Club de Nuit Iconic,92.0,45,"Grapefruit, Mint, Ginger"
Chanel,Bleu de Chanel EDP,"Grapefruit, Lemon, Mint, Pink Pepper, Ginger","Citrus, Woody, Warm Spicy",160,Missoni,Missoni Parfum Pour Homme,85.0,40,"Lemon, Grapefruit, Ginger"
Chanel,Coco Mademoiselle,"Orange, Mandarin Orange, Bergamot, Rose","Citrus, Patchouli, Rose",150,Armaf,Club de Nuit Woman,89.0,30,"Orange, Rose, Patchouli"
Chanel,Coco Mademoiselle,"Orange, Mandarin Orange, Bergamot, Rose","Citrus, Patchouli, Rose",150,Zara,Madame Glamour,85.0,20,"Citrus, Floral Notes, Patchouli"
Jo Malone,Wood Sage & Sea Salt,"Ambrette Seed, Sea Salt, Sage","Marine, Aromatic, Musky",155,Dossier,Woody Sage,90.0,29,"Fig, Sea Salt, Sage"
Jo Malone,Wood Sage & Sea Salt,"Ambrette Seed, Sea Salt, Sage","Marine, Aromatic, Musky",155,Zara,Ebony Wood,75.0,35,"Pink Pepper, Clove, Ebony Wood"
Jo Malone,Myrrh & Tonka,"Lavender, Omumbiri Myrrh, Tonka Bean","Amber, Vanilla, Aromatic",220,Oakcha,Tonka Delight,88.0,40,"Lavender, Myrrh, Vanilla"
Maison Margiela,By the Fireplace,"Cloves, Pink Pepper, Orange Blossom, Chestnut","Woody, Vanilla, Balsamic",160,Dossier,Woody Chestnut,90.0,39,"Pink Pepper, Chestnut, Vanilla"